"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Afghanistan","2022","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","32762836","1"
"Afghanistan","2022","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","16679394","1"
"Afghanistan","2022","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","16083442","1"
"Afghanistan","2022","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","8574372","1"
"Afghanistan","2022","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","4332170","1"
"Afghanistan","2022","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","4242202","1"
"Afghanistan","2022","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","24188464","1"
"Afghanistan","2022","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","12347224","1"
"Afghanistan","2022","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","11841240","1"
"Afghanistan","2021","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","32069160","1"
"Afghanistan","2021","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","16326619","1"
"Afghanistan","2021","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","15742541","1"
"Afghanistan","2021","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","8294708","1"
"Afghanistan","2021","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","4190731","1"
"Afghanistan","2021","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","4103977","1"
"Afghanistan","2021","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","23774452","1"
"Afghanistan","2021","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","12135888","1"
"Afghanistan","2021","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2022","11638564","1"
"Afghanistan","2020","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","31390171","1"
"Afghanistan","2020","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","15981303","1"
"Afghanistan","2020","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","15408868","1"
"Afghanistan","2020","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","8023928","1"
"Afghanistan","2020","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","4053789","1"
"Afghanistan","2020","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","3970139","1"
"Afghanistan","2020","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","23366243","1"
"Afghanistan","2020","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","11927514","1"
"Afghanistan","2020","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2021","11438729","1"
"Afghanistan","2019","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","30725560","1"
"Afghanistan","2019","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","15643288","1"
"Afghanistan","2019","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","15082272","1"
"Afghanistan","2019","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","7761765","1"
"Afghanistan","2019","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","3921208","1"
"Afghanistan","2019","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","3840557","1"
"Afghanistan","2019","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","22963795","1"
"Afghanistan","2019","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","11722080","1"
"Afghanistan","2019","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","11241715","1"
"Afghanistan","2018","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","30075018","1"
"Afghanistan","2018","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","15312423","1"
"Afghanistan","2018","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","14762595","1"
"Afghanistan","2018","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","7507953","1"
"Afghanistan","2018","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","3792857","1"
"Afghanistan","2018","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","3715096","1"
"Afghanistan","2018","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","22567065","1"
"Afghanistan","2018","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","11519566","1"
"Afghanistan","2018","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2019","11047499","1"
"Afghanistan","2017","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","28224323","1"
"Afghanistan","2017","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","14438456.1418364","1"
"Afghanistan","2017","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","13785866.8581636","1"
"Afghanistan","2017","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","7148224","1"
"Afghanistan","2017","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","3631352.56786596","1"
"Afghanistan","2017","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","3516871.43213404","1"
"Afghanistan","2017","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","21076099","1"
"Afghanistan","2017","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","10807103.5739704","1"
"Afghanistan","2017","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2018","10268995.4260296","1"
"Afghanistan","2016","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","27657145","1"
"Afghanistan","2016","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","14149838","1"
"Afghanistan","2016","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","13507307","1"
"Afghanistan","2016","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","6919560","1"
"Afghanistan","2016","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","3563570","1"
"Afghanistan","2016","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","3355990","1"
"Afghanistan","2016","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","20737585","1"
"Afghanistan","2016","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","10586268","1"
"Afghanistan","2016","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","10151317","1"
"Afghanistan","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","27101365","1"
"Afghanistan","2015","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","13865015","1"
"Afghanistan","2015","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","13236350","1"
"Afghanistan","2015","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","6698033","1"
"Afghanistan","2015","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","3449379","1"
"Afghanistan","2015","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","3248654","1"
"Afghanistan","2015","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","20403332","1"
"Afghanistan","2015","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","10415636","1"
"Afghanistan","2015","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2017","9987696","1"
"Afghanistan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26556754","1"
"Afghanistan","2014","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","13585933","1"
"Afghanistan","2014","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","12970821","1"
"Afghanistan","2014","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","6483434","1"
"Afghanistan","2014","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","3338764","1"
"Afghanistan","2014","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","3144670","1"
"Afghanistan","2014","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","20073320","1"
"Afghanistan","2014","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10247169","1"
"Afghanistan","2014","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9826151","1"
"Afghanistan","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26023100","1"
"Afghanistan","2013","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","13312400","1"
"Afghanistan","2013","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","12710700","1"
"Afghanistan","2013","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","6275600","1"
"Afghanistan","2013","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","3231600","1"
"Afghanistan","2013","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","3044000","1"
"Afghanistan","2013","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","19747500","1"
"Afghanistan","2013","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10080800","1"
"Afghanistan","2013","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9666700","1"
"Afghanistan","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","25500100","1"
"Afghanistan","2012","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","13044400","1"
"Afghanistan","2012","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","12455700","1"
"Afghanistan","2012","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","6074200","1"
"Afghanistan","2012","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","3127700","1"
"Afghanistan","2012","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2946500","1"
"Afghanistan","2012","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","19425900","1"
"Afghanistan","2012","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9916700","1"
"Afghanistan","2012","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9509200","1"
"Afghanistan","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","24987700","1"
"Afghanistan","2011","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","12782000","1"
"Afghanistan","2011","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","12205700","1"
"Afghanistan","2011","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","5879200","1"
"Afghanistan","2011","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","3027400","1"
"Afghanistan","2011","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2851800","1"
"Afghanistan","2011","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","19108500","1"
"Afghanistan","2011","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9754600","1"
"Afghanistan","2011","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9353900","1"
"Afghanistan","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","24485600","1"
"Afghanistan","2010","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","12524700","1"
