"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","4학년(남)","4학년(여)","5학년(남)","5학년(여)","6학년(남)","6학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","49","46","47","48","49","46","53","51","50","57","54","56","3","1","0","0","305","305","610"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","43","41","48","49","51","50","52","53","52","51","52","46","4","3","0","0","302","293","595"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","92","93","87","91","89","75","90","91","85","98","87","89","0","0","0","0","530","537","1067"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","64","67","47","40","55","63","51","70","60","50","37","42","2","1","0","0","316","333","649"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","56","66","55","47","60","55","57","58","72","61","75","64","6","5","0","0","381","356","737"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","20","23","12","17","16","27","20","13","24","22","19","23","8","4","0","0","119","129","248"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","59","52","87","83","88","74","109","101","133","123","145","119","2","0","0","0","623","552","1175"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","122","131","121","125","155","139","167","165","221","229","199","211","0","0","0","0","985","1000","1985"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","63","46","73","51","80","57","94","54","84","64","106","75","1","1","0","0","501","348","849"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","33","38","44","41","38","38","44","47","53","42","76","62","2","4","0","0","290","272","562"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","18","15","22","26","22","20","25","22","28","18","24","22","2","1","0","0","141","124","265"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","7","9","9","7","7","12","10","3","4","11","10","9","6","1","0","0","53","52","105"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","74","85","72","78","111","85","159","116","166","151","216","148","0","0","0","0","798","663","1461"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","56","35","53","54","72","50","73","56","116","56","142","73","6","0","0","0","518","324","842"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","53","51","55","58","65","66","94","57","84","87","113","87","4","5","0","0","468","411","879"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","108","113","76","147","152","128","134","176","172","204","188","204","2","1","0","0","832","973","1805"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","88","95","111","106","126","92","136","99","115","132","143","122","0","0","0","0","719","646","1365"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","55","56","48","63","57","69","58","67","87","82","65","79","5","4","0","0","375","420","795"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","81","82","80","100","75","84","72","77","82","74","84","70","6","0","0","0","480","487","967"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","14","13","19","18","10","9","14","16","17","30","28","20","0","0","0","0","102","106","208"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","42","34","42","36","40","31","41","37","39","35","52","29","0","0","0","0","256","202","458"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","47","46","43","28","46","40","50","28","54","49","55","49","1","0","0","0","296","240","536"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","67","88","89","105","103","117","99","120","129","136","130","140","12","2","0","0","629","708","1337"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","122","111","121","138","130","124","138","122","119","145","118","113","10","2","0","0","758","755","1513"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","115","124","124","142","122","116","99","106","103","149","109","116","0","0","0","0","672","753","1425"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","34","38","41","38","46","42","46","32","47","46","47","36","5","0","0","0","266","232","498"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","84","60","76","88","78","94","96","77","89","83","105","92","3","2","0","0","531","496","1027"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","12","13","12","16","9","6","14","9","4","12","13","15","5","2","0","0","69","73","142"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","26","34","47","44","33","37","43","32","47","41","30","42","8","2","0","0","234","232","466"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","80","71","87","82","90","91","103","83","117","118","140","102","0","0","0","0","617","547","1164"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","69","61","66","58","75","60","79","59","93","73","70","65","3","2","0","0","455","378","833"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","68","60","67","78","63","72","64","60","100","74","77","79","0","0","0","0","439","423","862"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","35","39","31","25","60","37","52","49","63","43","48","42","6","3","0","0","295","238","533"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","26","16","20","30","29","34","37","26","28","52","47","50","4","3","0","0","191","211","402"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","54","85","75","80","104","114","114","90","82","97","77","78","11","2","0","0","517","546","1063"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","101","115","132","115","137","143","160","119","172","160","168","127","7","3","0","0","877","782","1659"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","108","88","103","109","113","123","122","151","117","144","143","148","6","6","0","0","712","769","1481"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","20","13","37","20","27","30","25","27","36","21","37","24","6","3","0","0","188","138","326"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","24","17","28","21","17","21","26","27","19","25","38","30","12","1","0","0","164","142","306"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","66","45","80","62","66","61","75","72","91","80","74","66","8","0","0","0","460","386","846"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","28","19","25","16","22","15","18","21","20","21","20","19","4","4","0","0","137","115","252"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","95","80","104","79","96","110","123","85","116","88","101","98","0","0","0","0","635","540","1175"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","77","76","81","102","85","82","87","76","101","95","89","97","8","2","0","0","528","530","1058"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","40","48","54","42","38","41","52","48","41","37","61","53","5","5","0","0","291","274","565"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","95","94","101","98","105","78","134","91","139","83","134","106","3","0","0","0","711","550","1261"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","118","108","137","125","149","121","130","125","161","150","157","146","0","0","0","0","852","775","1627"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","45","45","48","41","40","35","41","38","35","31","40","40","0","0","0","0","249","230","479"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","43","35","43","36","42","38","36","51","29","44","38","47","6","0","0","0","237","251","488"
